epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.9294,2.52992,4.15588,1.94281,0.0051,0.19606,0.14613,0.10367,2.06685,4.24116,1.6287,0.000223125,0.000223125,0.000223125
2,99.3525,1.75887,2.98936,1.37179,0.97105,0.11073,0.26394,0.17331,1.74274,3.50557,1.33525,0.000415474,0.000415474,0.000415474
3,148.619,1.40109,2.02011,1.22539,0.76245,0.31122,0.43587,0.25024,1.51818,2.75865,1.2059,0.000560698,0.000560698,0.000560698
4,198.776,1.24715,1.50172,1.15613,0.70472,0.63904,0.73186,0.47576,1.23,1.84634,1.08356,0.000501942,0.000501942,0.000501942
5,248.268,1.09801,1.1963,1.07815,0.72479,0.75472,0.8283,0.59217,1.06509,1.55962,1.01553,0.000431256,0.000431256,0.000431256
6,297.875,0.99154,1.04405,1.03216,0.84357,0.85073,0.93702,0.6464,1.024,1.22135,0.99981,0.00036057,0.00036057,0.00036057
7,347.668,0.95812,0.9439,1.00688,0.90516,0.9247,0.96433,0.69433,0.91869,1.02958,0.94687,0.000289884,0.000289884,0.000289884
8,397.717,0.87033,0.86762,0.98137,0.94057,0.92984,0.97869,0.74476,0.82703,0.88657,0.91464,0.000219198,0.000219198,0.000219198
9,449.597,0.8407,0.83221,0.95783,0.95935,0.94751,0.98561,0.77244,0.75573,0.80216,0.89888,0.000148512,0.000148512,0.000148512
10,509.169,0.80783,0.80008,0.94424,0.975,0.96902,0.9891,0.77938,0.75028,0.76248,0.89646,7.7826e-05,7.7826e-05,7.7826e-05
